番号,駅名,ふりがな,所在地（都道府県・市町村名）,乗り入れ路線名１（上位２路線）,乗り入れ路線名２（上位２路線）
83,青山町,あおやまちょう,三重県青山町,近鉄大阪線,
84,赤井,あかい,福島県いわき市,ＪＲ東日本　磐越東線,
85,赤井川,あかいがわ,北海道森町,ＪＲ北海道　函館本線,
86,赤池,あかいけ,岐阜県美並村,長良川鉄道越美南線,
87,赤池,あかいけ,愛知県日進市,名鉄豊田線,名古屋市営鶴舞線
88,赤池,あかいけ,福岡県赤池町,平成筑豊鉄道伊田線,
89,赤岩,あかいわ,福島県福島市,ＪＲ東日本　奥羽本線,
90,赤岩口,あかいわぐち,愛知県豊橋市,＃豊橋鉄道東田本線,
91,あかおか,あかおか,高知県赤岡町,土佐くろしお鉄道阿佐線,
92,赤川,あかがわ,青森県むつ市,ＪＲ東日本　大湊線,
93,赤城,あかぎ,群馬県大間々町,東武桐生線,上毛電気鉄道上毛線
94,赤木,あかぎ,長野県伊那市,ＪＲ東海　飯田線,
95,赤倉温泉,あかくらおんせん,山形県最上町,ＪＲ東日本　陸羽東線,
96,赤坂,あかさか,群馬県前橋市,上毛電気鉄道上毛線,
97,赤坂,あかさか,東京都港区,営団千代田線,
98,赤坂,あかさか,山梨県都留市,富士急行大月線,
99,赤坂,あかさか,福岡県福岡市中央区,福岡市営１号線,
100,赤坂上,あかさかうえ,長野県上田市,上田交通別所線,
101,赤坂田,あかさかた,岩手県安代町,ＪＲ東日本　花輪線,
102,赤坂見附,あかさかみつけ,東京都港区,営団銀座線,営団丸ノ内線
103,赤碕,あかさき,鳥取県赤碕町,ＪＲ西日本　山陰本線,
104,赤迫,あかさこ,長崎県長崎市,＃長崎電気軌道[赤迫支線],
105,明石,あかし,兵庫県明石市,ＪＲ西日本　山陽本線,
106,明科,あかしな,長野県明科町,ＪＲ東日本　篠ノ井線,
107,赤瀬,あかせ,熊本県宇土市,ＪＲ九州　三角線,
108,県,あがた,栃木県足利市,東武伊勢崎線,
109,あかぢ,あかぢ,福岡県小竹町,平成筑豊鉄道伊田線,
110,赤塚,あかつか,茨城県水戸市,ＪＲ東日本　常磐線,
111,明塚,あかつか,島根県邑智町,ＪＲ西日本　三江線,
112,暁学園前,あかつきがくえんまえ,三重県四日市市,三岐鉄道三岐線,
113,赤土坂,あかつちさか,岐阜県関市,＃名鉄美濃町線,
114,赤野,あかの,高知県安芸市,土佐くろしお鉄道阿佐線,
115,吾野,あがの,埼玉県飯能市,西武池袋線,西武西武秩父線
116,赤羽,あかばね,東京都北区,ＪＲ東日本　東北本線,ＪＲ東日本　東北本線＜京浜東北線＞
117,赤羽岩淵,あかばねいわぶち,東京都北区,営団南北線,埼玉高速鉄道
118,赤羽橋,あかばねばし,東京都港区,東京都営大江戸線,
119,赤平,あかびら,北海道赤平市,ＪＲ北海道　根室本線,
120,赤渕,あかぶち,岩手県雫石町,ＪＲ東日本　田沢湖線,
121,英賀保,あがほ,兵庫県姫路市,ＪＲ西日本　山陽本線,
122,赤星,あかぼし,愛媛県土居町,ＪＲ四国　予讃線,
123,赤堀,あかほり,三重県四日市市,近鉄内部線,
124,赤間,あかま,福岡県宗像市,ＪＲ九州　鹿児島本線,
125,赤水,あかみず,熊本県阿蘇町,ＪＲ九州　豊肥本線,
126,赤目口,あかめぐち,三重県名張市,近鉄大阪線,
127,赤湯,あかゆ,山形県南陽市,ＪＲ東日本　奥羽本線,山形鉄道フラワー長井線
128,上道,あがりみち,鳥取県境港市,ＪＲ西日本　境線,
129,阿川,あがわ,山口県豊北町,ＪＲ西日本　山陰本線,
130,安芸,あき,高知県安芸市,土佐くろしお鉄道阿佐線,
131,阿木,あぎ,岐阜県中津川市,明知鉄道明知線,
132,安芸阿賀,あきあが,広島県呉市,ＪＲ西日本　呉線,
133,安芸飯室,あきいむろ,広島県広島市安佐北区,ＪＲ西日本　可部線,
134,安芸亀山,あきかめやま,広島県広島市安佐北区,ＪＲ西日本　可部線,
135,秋川,あきがわ,東京都あきる野市,ＪＲ東日本　五日市線,
136,安芸川尻,あきかわじり,広島県川尻町,ＪＲ西日本　呉線,
137,安芸幸崎,あきさいざき,広島県三原市,ＪＲ西日本　呉線,
138,昭島,あきしま,東京都昭島市,ＪＲ東日本　青梅線,
139,秋田,あきた,秋田県秋田市,ＪＲ東日本　奥羽本線,ＪＲ東日本　羽越本線
140,あきた白神,あきたしらかみ,秋田県八森町,ＪＲ東日本　五能線,
141,秋津,あきつ,東京都東村山市,西武池袋線,
142,安芸津,あきつ,広島県安芸津町,ＪＲ西日本　呉線,
143,安芸長束,あきながつか,広島県広島市安佐南区,ＪＲ西日本　可部線,
144,安芸中野,あきなかの,広島県広島市安芸区,ＪＲ西日本　山陽本線,
145,安芸長浜,あきながはま,広島県竹原市,ＪＲ西日本　呉線,
146,秋葉原,あきはばら,東京都千代田区,ＪＲ東日本　東北本線,ＪＲ東日本　総武本線（緩行線）
147,安芸矢口,あきやぐち,広島県広島市安佐北区,ＪＲ西日本　芸備線,
148,秋山,あきやま,千葉県松戸市,北総開発鉄道北総・公団線,
149,鮎喰,あくい,徳島県徳島市,ＪＲ四国　徳島線,
150,阿久比,あぐい,愛知県阿久比町,名鉄河和線,
151,阿久根,あくね,鹿児島県阿久根市,ＪＲ九州　鹿児島本線,
152,阿倉川,あくらがわ,三重県四日市市,近鉄名古屋線,
153,上ゲ,あげ,愛知県武豊町,名鉄河和線,
154,上尾,あげお,埼玉県上尾市,ＪＲ東日本　高崎線,
155,阿下喜,あげき,三重県北勢町,近鉄北勢線,
156,明智,あけち,岐阜県明智町,明知鉄道明知線,
157,明智,あけち,岐阜県可児市,名鉄広見線,
158,明戸,あけと,埼玉県川本町,秩父鉄道秩父本線,
159,明野,あけの,三重県小俣町,近鉄山田線,
160,曙町,あけぼのちょう,高知県高知市,＃土佐電気鉄道[伊野線],
161,曙町東町,あけぼのちょうひがしまち,高知県高知市,＃土佐電気鉄道[伊野線],
162,曙橋,あけぼのばし,東京都新宿区,東京都営新宿線,
163,上松,あげまつ,長野県上松町,ＪＲ東海　中央本線,
164,安子ヶ島,あこがしま,福島県郡山市,ＪＲ東日本　磐越西線,
165,阿漕,あこぎ,三重県津市,ＪＲ東海　紀勢本線,
166,厚狭,あさ,山口県山陽町,ＪＲ西日本　山陽新幹線,ＪＲ西日本　山陽本線
167,朝霞,あさか,埼玉県朝霞市,東武東上本線,
168,浅香,あさか,大阪府堺市,ＪＲ西日本　阪和線,
169,朝霞台,あさかだい,埼玉県朝霞市,東武東上本線,
170,安積永盛,あさかながもり,福島県郡山市,ＪＲ東日本　東北本線,ＪＲ東日本　水郡線
171,阿佐ヶ谷,あさがや,東京都杉並区,ＪＲ東日本　中央本線,
172,浅香山,あさかやま,大阪府堺市,南海高野線,
173,浅川,あさかわ,徳島県海南町,ＪＲ四国　牟岐線,
174,浅岸,あさぎし,岩手県盛岡市,ＪＲ東日本　山田線,
175,朝霧,あさぎり,兵庫県明石市,ＪＲ西日本　山陽本線,
176,浅草,あさくさ,東京都台東区,営団銀座線,東京都営浅草線
177,浅草橋,あさくさばし,東京都台東区,ＪＲ東日本　総武本線（緩行線）,東京都営浅草線
178,朝倉,あさくら,愛知県知多市,名鉄常滑線,
